id_transaksi,id_seller,id_produk,tanggal,jam_transaksi,jenis_transaksi,kategori,qty,harga_satuan,total_harga,metode_pembayaran,event,diskon,status_transaksi,tahun,bulan,id_supplier,nama_produk,kategori_produk,harga_jual,harga_modal,stok_awal,minimum_stok,status_produk,tanggal_input_produk,nama_usaha,jenis_usaha,lokasi_usaha,tanggal_bergabung
T000001,U006,P040,2025-08-23,10:47,Pemasukan,Fashion,2,50000,100000,QRIS,Tidak Ada Event,0,Berhasil,2025,8,S006,Topi,Fashion,50000,25000,412,82,stok_menipis,2025-05-07,Thrift Hub,Fashion,Bandung,2025-05-01
T000001,U006,P036,2025-08-23,10:47,Pemasukan,Fashion,1,150000,150000,QRIS,Tidak Ada Event,0,Berhasil,2025,8,S006,Jaket Kulit,Fashion,150000,90000,534,107,aktif,2025-05-12,Thrift Hub,Fashion,Bandung,2025-05-01
T000002,U005,P032,2026-10-10,08:35,Pemasukan,Laundry,5,15000,75000,QRIS,10.10 Sale,0,Berhasil,2026,10,S005,Pemutih,Laundry,15000,8000,4148,830,aktif,2025-02-02,CleanWash,Laundry,Bandung,2025-02-01
T000002,U005,P034,2026-10-10,08:35,Pemasukan,Laundry,1,7000,7000,QRIS,10.10 Sale,0,Berhasil,2026,10,S005,Cuci Kiloan,Laundry,7000,3000,4294,859,aktif,2025-02-11,CleanWash,Laundry,Bandung,2025-02-01
T000003,U002,P007,2026-07-14,12:17,Pemasukan,Sembako,7,70000,416500,QRIS,Tidak Ada Event,15,Berhasil,2026,7,S002,Beras,Sembako,70000,60000,2907,581,aktif,2024-03-10,Warung Madura,Retail,Cimahi,2024-03-01
T000004,U003,P022,2026-03-25,16:51,Pemasukan,Frozen Food,1,15000,15000,QRIS,Lebaran,0,Berhasil,2026,3,S008,Sosis Frozen,Frozen Food,15000,7000,984,197,aktif,2024-07-22,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000005,U006,P038,2026-05-06,19:12,Pemasukan,Fashion,1,75000,75000,Transfer,Tidak Ada Event,0,Berhasil,2026,5,S006,Kaos Polo,Fashion,75000,40000,434,87,aktif,2025-05-10,Thrift Hub,Fashion,Bandung,2025-05-01
T000006,U001,P003,2026-02-26,20:29,Pemasukan,Minuman,2,18000,36000,Cash,Ramadan,0,Berhasil,2026,2,S001,Kopi Susu,Minuman,18000,9000,752,150,aktif,2024-01-22,Warkop GenZ,Kafe,Bandung,2024-01-10
T000006,U001,P001,2026-02-26,20:29,Pemasukan,Minuman,2,15000,30000,Cash,Ramadan,0,Berhasil,2026,2,S001,Americano,Minuman,15000,7000,757,151,aktif,2024-01-21,Warkop GenZ,Kafe,Bandung,2024-01-10
T000007,U004,P026,2025-07-04,16:44,Pemasukan,Bakery,3,18000,54000,Cash,Tidak Ada Event,0,Berhasil,2025,7,S004,Croissant,Bakery,18000,9000,825,165,aktif,2024-10-11,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000007,U004,P027,2025-07-04,16:44,Pemasukan,Bakery,1,22000,22000,Cash,Tidak Ada Event,0,Berhasil,2025,7,S004,Cinnamon Roll,Bakery,22000,12000,625,125,aktif,2024-10-13,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000007,U004,P030,2025-07-04,16:44,Pemasukan,Bakery,3,28000,84000,Cash,Tidak Ada Event,0,Berhasil,2025,7,S004,Cheesecake,Bakery,28000,14000,666,133,aktif,2024-10-12,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000008,U004,P030,2025-11-10,16:29,Pemasukan,Bakery,4,28000,112000,QRIS,Tidak Ada Event,0,Berhasil,2025,11,S004,Cheesecake,Bakery,28000,14000,666,133,aktif,2024-10-12,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000008,U004,P028,2025-11-10,16:29,Pemasukan,Bakery,4,15000,60000,QRIS,Tidak Ada Event,0,Berhasil,2025,11,S004,Dorayaki,Bakery,15000,7000,638,128,stok_menipis,2024-10-08,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000009,U002,P012,2026-12-06,08:48,Pemasukan,Snack,5,18000,90000,QRIS,Tidak Ada Event,0,Berhasil,2026,12,S004,Pringles,Snack,18000,9000,1359,272,aktif,2024-03-06,Warung Madura,Retail,Cimahi,2024-03-01
T000010,U004,P026,2026-06-03,13:33,Pemasukan,Bakery,3,18000,51300,QRIS,Tidak Ada Event,5,Berhasil,2026,6,S004,Croissant,Bakery,18000,9000,825,165,aktif,2024-10-11,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000011,U003,P020,2024-11-06,16:27,Pemasukan,Makanan,2,15000,30000,QRIS,Tidak Ada Event,0,Berhasil,2024,11,S003,Ketoprak,Makanan,15000,8000,896,179,stok_menipis,2024-07-19,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000011,U003,P024,2024-11-06,16:27,Pemasukan,Frozen Food,1,22000,22000,QRIS,Tidak Ada Event,0,Berhasil,2024,11,S008,Dimsum Frozen,Frozen Food,22000,12000,914,183,aktif,2024-07-21,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000012,U003,P024,2026-11-23,22:32,Pemasukan,Frozen Food,5,22000,110000,Cash,Tidak Ada Event,0,Berhasil,2026,11,S008,Dimsum Frozen,Frozen Food,22000,12000,914,183,aktif,2024-07-21,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000012,U003,P025,2026-11-23,22:32,Pemasukan,Frozen Food,1,25000,25000,Cash,Tidak Ada Event,0,Berhasil,2026,11,S008,Bakso Frozen,Frozen Food,25000,13000,1399,280,aktif,2024-07-27,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000012,U003,P016,2026-11-23,22:32,Pemasukan,Makanan,3,35000,105000,Cash,Tidak Ada Event,0,Berhasil,2026,11,S003,Steak Ayam,Makanan,35000,18000,1070,214,aktif,2024-07-16,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000013,U003,P017,2025-03-17,12:15,Pemasukan,Makanan,2,20000,40000,Cash,Ramadan,0,Berhasil,2025,3,S003,Nasi Goreng,Makanan,20000,10000,680,136,aktif,2024-07-22,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000013,U003,P024,2025-03-17,12:15,Pengeluaran,Frozen Food,4,22000,88000,Cash,Ramadan,0,Berhasil,2025,3,S008,Dimsum Frozen,Frozen Food,22000,12000,914,183,aktif,2024-07-21,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000014,U002,P009,2025-08-25,15:55,Pemasukan,Sembako,6,28000,142800,Cash,Tidak Ada Event,15,Berhasil,2025,8,S002,Telur Ayam,Sembako,28000,22000,3706,741,aktif,2024-03-09,Warung Madura,Retail,Cimahi,2024-03-01
T000014,U002,P010,2025-08-25,15:55,Pemasukan,Sembako,9,12000,91800,Cash,Tidak Ada Event,15,Berhasil,2025,8,S002,Kecap,Sembako,12000,8000,2513,503,aktif,2024-03-15,Warung Madura,Retail,Cimahi,2024-03-01
T000014,U002,P012,2025-08-25,15:55,Pemasukan,Snack,2,18000,30600,Cash,Tidak Ada Event,15,Berhasil,2025,8,S004,Pringles,Snack,18000,9000,1359,272,aktif,2024-03-06,Warung Madura,Retail,Cimahi,2024-03-01
T000015,U003,P016,2024-08-05,21:35,Pemasukan,Makanan,2,35000,70000,QRIS,Tidak Ada Event,0,Berhasil,2024,8,S003,Steak Ayam,Makanan,35000,18000,1070,214,aktif,2024-07-16,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000016,U001,P002,2025-11-16,18:32,Pemasukan,Minuman,4,20000,80000,QRIS,Tidak Ada Event,0,Berhasil,2025,11,S001,Latte,Minuman,20000,10000,825,165,aktif,2024-01-15,Warkop GenZ,Kafe,Bandung,2024-01-10
T000017,U004,P029,2025-11-21,09:06,Pemasukan,Bakery,1,12000,12000,QRIS,Tidak Ada Event,0,Berhasil,2025,11,S004,Kue Balok,Bakery,12000,6000,852,170,aktif,2024-10-12,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000017,U004,P026,2025-11-21,09:06,Pemasukan,Bakery,3,18000,54000,QRIS,Tidak Ada Event,0,Berhasil,2025,11,S004,Croissant,Bakery,18000,9000,825,165,aktif,2024-10-11,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000018,U001,P004,2025-06-02,19:12,Pemasukan,Minuman,2,10000,20000,Cash,Tidak Ada Event,0,Berhasil,2025,6,S007,Coca-cola,Minuman,10000,5000,744,149,aktif,2024-01-19,Warkop GenZ,Kafe,Bandung,2024-01-10
T000019,U001,P001,2026-07-05,22:06,Pemasukan,Minuman,4,15000,48000,QRIS,Tidak Ada Event,20,Berhasil,2026,7,S001,Americano,Minuman,15000,7000,757,151,aktif,2024-01-21,Warkop GenZ,Kafe,Bandung,2024-01-10
T000019,U001,P002,2026-07-05,22:06,Pemasukan,Minuman,2,20000,32000,QRIS,Tidak Ada Event,20,Berhasil,2026,7,S001,Latte,Minuman,20000,10000,825,165,aktif,2024-01-15,Warkop GenZ,Kafe,Bandung,2024-01-10
T000019,U001,P005,2026-07-05,22:06,Pemasukan,Minuman,1,5000,4000,QRIS,Tidak Ada Event,20,Berhasil,2026,7,S007,Air Mineral,Minuman,5000,2500,715,143,aktif,2024-01-11,Warkop GenZ,Kafe,Bandung,2024-01-10
T000020,U001,P005,2026-03-19,20:59,Pemasukan,Minuman,3,5000,15000,Cash,Ramadan,0,Berhasil,2026,3,S007,Air Mineral,Minuman,5000,2500,715,143,aktif,2024-01-11,Warkop GenZ,Kafe,Bandung,2024-01-10
T000020,U001,P004,2026-03-19,20:59,Pemasukan,Minuman,1,10000,10000,Cash,Ramadan,0,Berhasil,2026,3,S007,Coca-cola,Minuman,10000,5000,744,149,aktif,2024-01-19,Warkop GenZ,Kafe,Bandung,2024-01-10
T000020,U001,P001,2026-03-19,20:59,Pemasukan,Minuman,1,15000,15000,Cash,Ramadan,0,Berhasil,2026,3,S001,Americano,Minuman,15000,7000,757,151,aktif,2024-01-21,Warkop GenZ,Kafe,Bandung,2024-01-10
T000020,U001,P003,2026-03-19,20:59,Pemasukan,Minuman,1,18000,18000,Cash,Ramadan,0,Berhasil,2026,3,S001,Kopi Susu,Minuman,18000,9000,752,150,aktif,2024-01-22,Warkop GenZ,Kafe,Bandung,2024-01-10
T000021,U004,P030,2026-02-27,14:10,Pemasukan,Bakery,1,28000,28000,QRIS,Ramadan,0,Berhasil,2026,2,S004,Cheesecake,Bakery,28000,14000,666,133,aktif,2024-10-12,Roti Bahagia,Bakery,Sumedang,2024-10-01
